week	confct in 1wk	confct in 4wks	confct in 12wks
(2006, 1)	5	5	15
(2006, 2)	0	0	10
(2006, 3)	0	3	10
(2006, 4)	0	3	10
(2006, 5)	0	3	10
(2006, 6)	3	4	10
(2006, 7)	0	5	7
(2006, 8)	0	5	7
(2006, 9)	1	7	16
(2006, 10)	4	6	17
(2006, 11)	0	2	15
(2006, 12)	2	2	20
(2006, 13)	0	0	18
(2006, 14)	0	0	18
(2006, 15)	0	0	37
(2006, 16)	0	0	37
(2006, 17)	0	9	37
(2006, 18)	0	11	53
(2006, 19)	0	13	53
(2006, 20)	9	18	53
(2006, 21)	2	9	44
(2006, 22)	2	7	42
(2006, 23)	5	24	40
(2006, 24)	0	19	43
(2006, 25)	0	19	48
(2006, 26)	19	35	49
(2006, 27)	0	16	56
(2006, 28)	0	16	74
(2006, 29)	16	16	74
(2006, 30)	0	0	58
(2006, 31)	0	0	61
(2006, 32)	0	8	61
(2006, 33)	0	13	61
(2006, 34)	0	14	62
(2006, 35)	8	40	62
(2006, 36)	5	50	54
(2006, 37)	1	45	49
(2006, 38)	26	44	48
(2006, 39)	18	21	22
(2006, 40)	0	3	4
(2006, 41)	0	3	4
(2006, 42)	3	4	8
(2006, 43)	0	1	8
(2006, 44)	0	1	8
(2006, 45)	1	1	8
(2006, 46)	0	0	7
(2006, 47)	0	0	7
(2006, 48)	0	0	25
(2006, 49)	0	0	26
(2006, 50)	0	4	33
(2006, 51)	0	7	40
(2006, 52)	0	7	40
(2007, 1)	4	7	40
(2007, 2)	3	3	36
(2007, 3)	0	0	34
(2007, 4)	0	18	37
(2007, 5)	0	19	37
(2007, 6)	0	26	37
(2007, 7)	18	33	38
(2007, 8)	1	15	46
(2007, 9)	7	14	46
(2007, 10)	7	7	46
(2007, 11)	0	1	39
(2007, 12)	0	4	39
(2007, 13)	0	4	41
(2007, 14)	1	4	41
(2007, 15)	3	4	41
(2007, 16)	0	27	38
(2007, 17)	0	28	67
(2007, 18)	1	35	79
(2007, 19)	26	34	79
(2007, 20)	1	8	53
(2007, 21)	7	9	58
(2007, 22)	0	2	52
(2007, 23)	0	3	52
(2007, 24)	2	3	54
(2007, 25)	0	30	53
(2007, 26)	1	42	59
(2007, 27)	0	42	59
(2007, 28)	29	42	59
(2007, 29)	12	19	50
(2007, 30)	1	8	39
(2007, 31)	0	7	49
(2007, 32)	6	9	49
(2007, 33)	1	4	44
(2007, 34)	0	9	43
(2007, 35)	2	10	44
(2007, 36)	1	8	42
(2007, 37)	6	27	43
(2007, 38)	1	22	37
(2007, 39)	0	32	38
(2007, 40)	20	32	38
(2007, 41)	1	13	22
(2007, 42)	11	12	25
(2007, 43)	0	2	14
(2007, 44)	1	2	14
(2007, 45)	0	3	13
(2007, 46)	1	3	21
(2007, 47)	0	4	34
(2007, 48)	2	4	36
(2007, 49)	0	6	43
(2007, 50)	2	10	49
(2007, 51)	0	8	50
(2007, 52)	4	8	50
(2008, 1)	4	4	48
(2008, 2)	0	8	45
(2008, 3)	0	22	80
(2008, 4)	0	24	82
(2008, 5)	8	33	84
(2008, 6)	14	31	77
(2008, 7)	2	20	66
(2008, 8)	9	18	80
(2008, 9)	6	11	73
(2008, 10)	3	6	98
(2008, 11)	0	38	101
(2008, 12)	2	40	103
(2008, 13)	1	40	114
(2008, 14)	35	40	116
(2008, 15)	2	8	82
(2008, 16)	2	22	82
(2008, 17)	1	22	83
(2008, 18)	3	52	83
(2008, 19)	16	55	120
(2008, 20)	2	41	105
(2008, 21)	31	52	104
(2008, 22)	6	24	76
(2008, 23)	2	19	70
(2008, 24)	13	19	76
(2008, 25)	3	9	66
(2008, 26)	1	7	91
(2008, 27)	2	46	101
(2008, 28)	3	45	149
(2008, 29)	1	43	150
(2008, 30)	40	45	180
(2008, 31)	1	5	146
(2008, 32)	1	12	161
(2008, 33)	3	14	194
(2008, 34)	0	39	191
(2008, 35)	8	50	191
(2008, 36)	3	92	186
(2008, 37)	28	93	184
(2008, 38)	11	96	163
(2008, 39)	50	91	156
(2008, 40)	4	57	106
(2008, 41)	31	87	102
(2008, 42)	6	56	76
(2008, 43)	16	50	70
(2008, 44)	34	37	63
(2008, 45)	0	4	32
(2008, 46)	0	11	39
(2008, 47)	3	15	40
(2008, 48)	1	12	41
(2008, 49)	7	11	43
(2008, 50)	4	9	41
(2008, 51)	0	5	58
(2008, 52)	0	14	143
(2009, 1)	5	17	150
(2009, 2)	0	19	151
(2009, 3)	9	20	151
(2009, 4)	3	15	150
(2009, 5)	7	15	185
(2009, 6)	1	13	212
(2009, 7)	4	33	224
(2009, 8)	3	114	222
(2009, 9)	5	118	243
(2009, 10)	21	119	250
(2009, 11)	85	98	259
(2009, 12)	7	21	179
(2009, 13)	6	52	184
(2009, 14)	0	80	190
(2009, 15)	8	93	196
(2009, 16)	38	87	193
(2009, 17)	34	73	189
(2009, 18)	13	51	181
(2009, 19)	2	68	168
(2009, 20)	24	71	168
(2009, 21)	12	59	147
(2009, 22)	30	59	155
(2009, 23)	5	35	135
(2009, 24)	12	35	133
(2009, 25)	12	57	141
(2009, 26)	6	71	134
(2009, 27)	5	65	144
(2009, 28)	34	62	176
(2009, 29)	26	31	167
(2009, 30)	0	25	145
(2009, 31)	2	35	182
(2009, 32)	3	36	181
(2009, 33)	20	53	178
(2009, 34)	10	38	174
(2009, 35)	3	44	187
(2009, 36)	20	78	189
(2009, 37)	5	83	169
(2009, 38)	16	82	178
(2009, 39)	37	103	165
(2009, 40)	25	67	128
(2009, 41)	4	42	104
(2009, 42)	37	54	108
(2009, 43)	1	40	88
(2009, 44)	0	44	87
(2009, 45)	16	44	87
(2009, 46)	23	42	84
(2009, 47)	5	22	106
(2009, 48)	0	17	116
(2009, 49)	14	18	123
(2009, 50)	3	12	117
(2009, 51)	0	26	121
(2009, 52)	1	26	178
(2009, 53)	8	25	185
(2010, 1)	17	30	179
(2010, 2)	0	58	175
(2010, 3)	0	73	177
(2010, 4)	13	80	189
(2010, 5)	45	75	178
(2010, 6)	15	37	136
(2010, 7)	7	79	138
(2010, 8)	8	80	132
(2010, 9)	7	74	146
(2010, 10)	57	80	167
(2010, 11)	8	25	158
(2010, 12)	2	29	160
(2010, 13)	13	29	192
(2010, 14)	2	19	191
(2010, 15)	12	34	196
(2010, 16)	2	23	200
(2010, 17)	3	43	247
(2010, 18)	17	68	252
(2010, 19)	1	99	238
(2010, 20)	22	108	261
(2010, 21)	28	120	240
(2010, 22)	48	104	235
(2010, 23)	10	63	208
(2010, 24)	34	69	229
(2010, 25)	12	84	200
(2010, 26)	7	80	227
(2010, 27)	16	76	230
(2010, 28)	49	84	241
(2010, 29)	8	36	207
(2010, 30)	3	51	273
(2010, 31)	24	69	291
(2010, 32)	1	76	278
(2010, 33)	23	80	278
(2010, 34)	21	96	262
(2010, 35)	31	85	241
(2010, 36)	5	81	259
(2010, 37)	39	91	280
(2010, 38)	10	126	256
(2010, 39)	27	137	246
(2010, 40)	15	121	219
(2010, 41)	74	107	207
(2010, 42)	21	40	145
(2010, 43)	11	19	127
(2010, 44)	1	57	124
(2010, 45)	7	82	130
(2010, 46)	0	90	145
(2010, 47)	49	90	153
(2010, 48)	26	41	109
(2010, 49)	15	18	84
(2010, 50)	0	15	81
(2010, 51)	0	18	91
(2010, 52)	3	26	126
(2011, 1)	12	30	205
(2011, 2)	3	40	206
(2011, 3)	8	45	251
(2011, 4)	7	42	255
(2011, 5)	22	36	303
(2011, 6)	8	26	286
(2011, 7)	5	28	289
(2011, 8)	1	58	305
(2011, 9)	12	139	358
(2011, 10)	10	140	364
(2011, 11)	35	178	421
(2011, 12)	82	155	422
(2011, 13)	13	128	347
(2011, 14)	48	120	338
(2011, 15)	12	83	318
(2011, 16)	55	92	307
(2011, 17)	5	91	330
(2011, 18)	11	104	334
(2011, 19)	21	160	326
(2011, 20)	54	175	363
(2011, 21)	18	128	320
(2011, 22)	67	114	369
(2011, 23)	36	75	323
(2011, 24)	7	40	300
(2011, 25)	4	111	305
(2011, 26)	28	116	350
(2011, 27)	1	91	362
(2011, 28)	78	148	384
(2011, 29)	9	81	314
(2011, 30)	3	139	354
(2011, 31)	58	157	354
(2011, 32)	11	112	322
(2011, 33)	67	113	312
(2011, 34)	21	95	290
(2011, 35)	13	114	292
(2011, 36)	12	124	282
(2011, 37)	49	120	303
(2011, 38)	40	120	264
(2011, 39)	23	83	225
(2011, 40)	8	86	205
(2011, 41)	49	79	202
(2011, 42)	3	75	154
(2011, 43)	26	95	153
(2011, 44)	1	72	128
(2011, 45)	45	104	146
(2011, 46)	23	69	116
(2011, 47)	3	47	106
