week	confct
(2006, 1)	0
(2006, 2)	5
(2006, 3)	0
(2006, 4)	0
(2006, 5)	0
(2006, 6)	0
(2006, 7)	3
(2006, 8)	0
(2006, 9)	0
(2006, 10)	1
(2006, 11)	4
(2006, 12)	0
(2006, 13)	2
(2006, 14)	0
(2006, 15)	0
(2006, 16)	0
(2006, 17)	0
(2006, 18)	0
(2006, 19)	0
(2006, 20)	0
(2006, 21)	9
(2006, 22)	2
(2006, 23)	2
(2006, 24)	5
(2006, 25)	0
(2006, 26)	0
(2006, 27)	19
(2006, 28)	0
(2006, 29)	0
(2006, 30)	16
(2006, 31)	0
(2006, 32)	0
(2006, 33)	0
(2006, 34)	0
(2006, 35)	0
(2006, 36)	8
(2006, 37)	5
(2006, 38)	1
(2006, 39)	26
(2006, 40)	18
(2006, 41)	0
(2006, 42)	0
(2006, 43)	3
(2006, 44)	0
(2006, 45)	0
(2006, 46)	1
(2006, 47)	0
(2006, 48)	0
(2006, 49)	0
(2006, 50)	0
(2006, 51)	0
(2006, 52)	0
(2007, 1)	0
(2007, 2)	4
(2007, 3)	3
(2007, 4)	0
(2007, 5)	0
(2007, 6)	0
(2007, 7)	0
(2007, 8)	18
(2007, 9)	1
(2007, 10)	7
(2007, 11)	7
(2007, 12)	0
(2007, 13)	0
(2007, 14)	0
(2007, 15)	1
(2007, 16)	3
(2007, 17)	0
(2007, 18)	0
(2007, 19)	1
(2007, 20)	26
(2007, 21)	1
(2007, 22)	7
(2007, 23)	0
(2007, 24)	0
(2007, 25)	2
(2007, 26)	0
(2007, 27)	1
(2007, 28)	0
(2007, 29)	29
(2007, 30)	12
(2007, 31)	1
(2007, 32)	0
(2007, 33)	6
(2007, 34)	1
(2007, 35)	0
(2007, 36)	2
(2007, 37)	1
(2007, 38)	6
(2007, 39)	1
(2007, 40)	0
(2007, 41)	20
(2007, 42)	1
(2007, 43)	11
(2007, 44)	0
(2007, 45)	1
(2007, 46)	0
(2007, 47)	1
(2007, 48)	0
(2007, 49)	2
(2007, 50)	0
(2007, 51)	2
(2007, 52)	0
(2008, 1)	4
(2008, 2)	4
(2008, 3)	0
(2008, 4)	0
(2008, 5)	0
(2008, 6)	8
(2008, 7)	14
(2008, 8)	2
(2008, 9)	9
(2008, 10)	6
(2008, 11)	3
(2008, 12)	0
(2008, 13)	2
(2008, 14)	1
(2008, 15)	35
(2008, 16)	2
(2008, 17)	2
(2008, 18)	1
(2008, 19)	3
(2008, 20)	16
(2008, 21)	2
(2008, 22)	31
(2008, 23)	6
(2008, 24)	2
(2008, 25)	13
(2008, 26)	3
(2008, 27)	1
(2008, 28)	2
(2008, 29)	3
(2008, 30)	1
(2008, 31)	40
(2008, 32)	1
(2008, 33)	1
(2008, 34)	3
(2008, 35)	0
(2008, 36)	8
(2008, 37)	3
(2008, 38)	28
(2008, 39)	11
(2008, 40)	50
(2008, 41)	4
(2008, 42)	31
(2008, 43)	6
(2008, 44)	16
(2008, 45)	34
(2008, 46)	0
(2008, 47)	0
(2008, 48)	3
(2008, 49)	1
(2008, 50)	7
(2008, 51)	4
(2008, 52)	0
(2009, 1)	0
(2009, 2)	5
(2009, 3)	0
(2009, 4)	9
(2009, 5)	3
(2009, 6)	7
(2009, 7)	1
(2009, 8)	4
(2009, 9)	3
(2009, 10)	5
(2009, 11)	21
(2009, 12)	85
(2009, 13)	7
(2009, 14)	6
(2009, 15)	0
(2009, 16)	8
(2009, 17)	38
(2009, 18)	34
(2009, 19)	13
(2009, 20)	2
(2009, 21)	24
(2009, 22)	12
(2009, 23)	30
(2009, 24)	5
(2009, 25)	12
(2009, 26)	12
(2009, 27)	6
(2009, 28)	5
(2009, 29)	34
(2009, 30)	26
(2009, 31)	0
(2009, 32)	2
(2009, 33)	3
(2009, 34)	20
(2009, 35)	10
(2009, 36)	3
(2009, 37)	20
(2009, 38)	5
(2009, 39)	16
(2009, 40)	37
(2009, 41)	25
(2009, 42)	4
(2009, 43)	37
(2009, 44)	1
(2009, 45)	0
(2009, 46)	16
(2009, 47)	23
(2009, 48)	5
(2009, 49)	0
(2009, 50)	14
(2009, 51)	3
(2009, 52)	0
(2009, 53)	1
(2010, 1)	8
(2010, 2)	17
(2010, 3)	0
(2010, 4)	0
(2010, 5)	13
(2010, 6)	45
(2010, 7)	15
(2010, 8)	7
(2010, 9)	8
(2010, 10)	7
(2010, 11)	57
(2010, 12)	8
(2010, 13)	2
(2010, 14)	13
(2010, 15)	2
(2010, 16)	12
(2010, 17)	2
(2010, 18)	3
(2010, 19)	17
(2010, 20)	1
(2010, 21)	22
(2010, 22)	28
(2010, 23)	48
(2010, 24)	10
(2010, 25)	34
(2010, 26)	12
(2010, 27)	7
(2010, 28)	16
(2010, 29)	49
(2010, 30)	8
(2010, 31)	3
(2010, 32)	24
(2010, 33)	1
(2010, 34)	23
(2010, 35)	21
(2010, 36)	31
(2010, 37)	5
(2010, 38)	39
(2010, 39)	10
(2010, 40)	27
(2010, 41)	15
(2010, 42)	74
(2010, 43)	21
(2010, 44)	11
(2010, 45)	1
(2010, 46)	7
(2010, 47)	0
(2010, 48)	49
(2010, 49)	26
(2010, 50)	15
(2010, 51)	0
(2010, 52)	0
(2011, 1)	3
(2011, 2)	12
(2011, 3)	3
(2011, 4)	8
(2011, 5)	7
(2011, 6)	22
(2011, 7)	8
(2011, 8)	5
(2011, 9)	1
(2011, 10)	12
(2011, 11)	10
(2011, 12)	35
(2011, 13)	82
(2011, 14)	13
(2011, 15)	48
(2011, 16)	12
(2011, 17)	55
(2011, 18)	5
(2011, 19)	11
(2011, 20)	21
(2011, 21)	54
(2011, 22)	18
(2011, 23)	67
(2011, 24)	36
(2011, 25)	7
(2011, 26)	4
(2011, 27)	28
(2011, 28)	1
(2011, 29)	78
(2011, 30)	9
(2011, 31)	3
(2011, 32)	58
(2011, 33)	11
(2011, 34)	67
(2011, 35)	21
(2011, 36)	13
(2011, 37)	12
(2011, 38)	49
(2011, 39)	40
(2011, 40)	23
(2011, 41)	8
(2011, 42)	49
(2011, 43)	3
(2011, 44)	26
(2011, 45)	1
(2011, 46)	45
(2011, 47)	23
(2011, 48)	3
(2011, 49)	33
(2011, 50)	10
(2011, 51)	1
(2011, 52)	3
(2012, 1)	5
(2012, 2)	1
(2012, 3)	2
(2012, 4)	1
(2012, 5)	19
(2012, 6)	15
(2012, 7)	13
(2012, 8)	11
(2012, 9)	94
(2012, 10)	14
(2012, 11)	15
(2012, 12)	33
(2012, 13)	85
(2012, 14)	6
(2012, 15)	31
(2012, 16)	15
(2012, 17)	8
(2012, 18)	19
(2012, 19)	14
(2012, 20)	19
(2012, 21)	106
(2012, 22)	27
(2012, 23)	60
(2012, 24)	22
(2012, 25)	14
(2012, 26)	14
(2012, 27)	96
(2012, 28)	20
(2012, 29)	18
(2012, 30)	13
(2012, 31)	1
(2012, 32)	3
(2012, 33)	54
(2012, 34)	6
(2012, 35)	6
(2012, 36)	29
(2012, 37)	52
(2012, 38)	44
(2012, 39)	6
(2012, 40)	23
(2012, 41)	20
(2012, 42)	18
(2012, 43)	6
(2012, 44)	17
(2012, 45)	9
(2012, 46)	70
(2012, 47)	13
(2012, 48)	6
(2012, 49)	69
(2012, 50)	15
(2012, 51)	0
(2012, 52)	0
(2013, 1)	0
(2013, 2)	39
(2013, 3)	10
(2013, 4)	5
(2013, 5)	6
(2013, 6)	3
(2013, 7)	19
(2013, 8)	22
(2013, 9)	15
(2013, 10)	131
(2013, 11)	45
(2013, 12)	6
(2013, 13)	0
(2013, 14)	38
(2013, 15)	54
(2013, 16)	7
(2013, 17)	61
(2013, 18)	7
(2013, 19)	38
(2013, 20)	61
(2013, 21)	31
(2013, 22)	21
(2013, 23)	52
(2013, 24)	7
(2013, 25)	8
(2013, 26)	33
(2013, 27)	17
(2013, 28)	7
(2013, 29)	112
(2013, 30)	19
(2013, 31)	2
(2013, 32)	13
(2013, 33)	41
(2013, 34)	33
(2013, 35)	30
(2013, 36)	72
(2013, 37)	40
(2013, 38)	18
(2013, 39)	51
(2013, 40)	19
(2013, 41)	40
(2013, 42)	67
(2013, 43)	18
(2013, 44)	15
(2013, 45)	47
(2013, 46)	16
(2013, 47)	32
(2013, 48)	11
(2013, 49)	48
(2013, 50)	5
(2013, 51)	9
(2013, 52)	0
(2014, 1)	0
(2014, 2)	20
(2014, 3)	17
(2014, 4)	17
(2014, 5)	2
(2014, 6)	3
(2014, 7)	17
(2014, 8)	22
(2014, 9)	11
(2014, 10)	28
(2014, 11)	16
(2014, 12)	28
(2014, 13)	112
(2014, 14)	54
(2014, 15)	36
(2014, 16)	1
(2014, 17)	10
(2014, 18)	32
(2014, 19)	23
(2014, 20)	29
(2014, 21)	38
(2014, 22)	15
(2014, 23)	94
(2014, 24)	9
(2014, 25)	36
(2014, 26)	12
(2014, 27)	133
(2014, 28)	5
(2014, 29)	12
(2014, 30)	36
